N_nodes,lambda,h,T_max,total_healthy,total_contagious,total_ill,total_dead,total_recovered,contagious_percentage,ill_percentage,death_percentage,avg_iterations_to_die,diff_contage,diff_deaths,sum_of_diffs
3000,0.35,0.6,6,266,2734,2734,1431,1303,0.91,0.91,0.48,4.4,1534,1221,2755
3000,0.4,0.3,3,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.4,0.3,4,2999,1,1,1,0,0.0,0.0,0.0,5.0,1199,209,1408
3000,0.4,0.3,5,2999,1,1,1,0,0.0,0.0,0.0,2.0,1199,209,1408
3000,0.4,0.3,6,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.4,0.35,3,2992,8,8,3,5,0.0,0.0,0.0,2.67,1192,207,1399
3000,0.4,0.35,4,2990,10,10,3,7,0.0,0.0,0.0,3.0,1190,207,1397
3000,0.4,0.35,5,2994,6,6,2,4,0.0,0.0,0.0,4.0,1194,208,1402
3000,0.4,0.35,6,2992,8,8,3,5,0.0,0.0,0.0,3.67,1192,207,1399
3000,0.4,0.4,3,1821,1179,1179,365,814,0.39,0.39,0.12,3.03,21,155,176
3000,0.4,0.4,4,2985,15,15,5,10,0.01,0.01,0.0,3.8,1185,205,1390
3000,0.4,0.4,5,2981,19,19,12,7,0.01,0.01,0.0,3.67,1181,198,1379
3000,0.4,0.4,6,1968,1032,1032,547,485,0.34,0.34,0.18,4.22,168,337,505
3000,0.4,0.45,3,1818,1182,1182,328,854,0.39,0.39,0.11,3.01,18,118,136
3000,0.4,0.45,4,2996,4,4,0,4,0.0,0.0,0.0,0,1196,210,1406
3000,0.4,0.45,5,1758,1242,1242,540,702,0.41,0.41,0.18,3.95,42,330,372
3000,0.4,0.45,6,2990,10,10,5,5,0.0,0.0,0.0,4.2,1190,205,1395
3000,0.4,0.5,3,1915,1085,1085,317,768,0.36,0.36,0.11,3.1,115,107,222
3000,0.4,0.5,4,2996,4,4,1,3,0.0,0.0,0.0,3.0,1196,209,1405
3000,0.4,0.5,5,1938,1062,1062,508,554,0.35,0.35,0.17,3.85,138,298,436
3000,0.4,0.5,6,1945,1055,1055,548,507,0.35,0.35,0.18,4.34,145,338,483
3000,0.4,0.55,3,2994,6,6,1,5,0.0,0.0,0.0,4.0,1194,209,1403
3000,0.4,0.55,4,2997,3,3,1,2,0.0,0.0,0.0,5.0,1197,209,1406
3000,0.4,0.55,5,1804,1196,1196,548,648,0.4,0.4,0.18,3.96,4,338,342
3000,0.4,0.55,6,2981,19,19,13,6,0.01,0.01,0.0,3.85,1181,197,1378
3000,0.4,0.6,3,178,2822,2822,817,2005,0.94,0.94,0.27,3.01,1622,607,2229
3000,0.4,0.6,4,197,2803,2803,1065,1738,0.93,0.93,0.35,3.46,1603,855,2458
3000,0.4,0.6,5,159,2841,2841,1349,1492,0.95,0.95,0.45,3.87,1641,1139,2780
3000,0.4,0.6,6,205,2795,2795,1485,1310,0.93,0.93,0.49,4.33,1595,1275,2870
3000,0.45,0.3,3,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.45,0.3,4,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.45,0.3,5,2999,1,1,1,0,0.0,0.0,0.0,5.0,1199,209,1408
3000,0.45,0.3,6,2999,1,1,1,0,0.0,0.0,0.0,2.0,1199,209,1408
3000,0.45,0.35,3,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.45,0.35,4,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.45,0.35,5,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.45,0.35,6,2999,1,1,1,0,0.0,0.0,0.0,2.0,1199,209,1408
3000,0.45,0.4,3,2995,5,5,1,4,0.0,0.0,0.0,3.0,1195,209,1404
3000,0.45,0.4,4,1394,1606,1606,652,954,0.54,0.54,0.22,3.44,406,442,848
3000,0.45,0.4,5,1506,1494,1494,699,795,0.5,0.5,0.23,3.89,294,489,783
3000,0.45,0.4,6,2998,2,2,1,1,0.0,0.0,0.0,4.0,1198,209,1407
3000,0.45,0.45,3,1404,1596,1596,463,1133,0.53,0.53,0.15,3.06,396,253,649
3000,0.45,0.45,4,2998,2,2,1,1,0.0,0.0,0.0,2.0,1198,209,1407
3000,0.45,0.45,5,1677,1323,1323,618,705,0.44,0.44,0.21,3.88,123,408,531
3000,0.45,0.45,6,1554,1446,1446,724,722,0.48,0.48,0.24,4.31,246,514,760
3000,0.45,0.5,3,1583,1417,1417,427,990,0.47,0.47,0.14,3.02,217,217,434
3000,0.45,0.5,4,1487,1513,1513,608,905,0.5,0.5,0.2,3.44,313,398,711
3000,0.45,0.5,5,2994,6,6,4,2,0.0,0.0,0.0,4.25,1194,206,1400
3000,0.45,0.5,6,1485,1515,1515,802,713,0.51,0.51,0.27,4.29,315,592,907
3000,0.45,0.55,3,1546,1454,1454,443,1011,0.48,0.48,0.15,3.01,254,233,487
3000,0.45,0.55,4,2999,1,1,1,0,0.0,0.0,0.0,5.0,1199,209,1408
3000,0.45,0.55,5,2994,6,6,4,2,0.0,0.0,0.0,4.25,1194,206,1400
3000,0.45,0.55,6,1485,1515,1515,802,713,0.51,0.51,0.27,4.29,315,592,907
3000,0.45,0.6,3,148,2852,2852,861,1991,0.95,0.95,0.29,3.02,1652,651,2303
3000,0.45,0.6,4,162,2838,2838,1110,1728,0.95,0.95,0.37,3.41,1638,900,2538
3000,0.45,0.6,5,134,2866,2866,1347,1519,0.96,0.96,0.45,3.88,1666,1137,2803
3000,0.45,0.6,6,134,2866,2866,1515,1351,0.96,0.96,0.51,4.25,1666,1305,2971
3000,0.5,0.3,3,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.5,0.3,4,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.5,0.3,5,2999,1,1,1,0,0.0,0.0,0.0,2.0,1199,209,1408
3000,0.5,0.3,6,2999,1,1,1,0,0.0,0.0,0.0,2.0,1199,209,1408
3000,0.5,0.35,3,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.5,0.35,4,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.5,0.35,5,2999,1,1,0,1,0.0,0.0,0.0,0,1199,210,1409
3000,0.5,0.35,6,2999,1,1,1,0,0.0,0.0,0.0,4.0,1199,209,1408
3000,0.5,0.4,3,1335,1665,1665,522,1143,0.56,0.56,0.17,3.03,465,312,777
3000,0.5,0.4,4,1193,1807,1807,759,1048,0.6,0.6,0.25,3.45,607,549,1156
3000,0.5,0.4,5,1255,1745,1745,836,909,0.58,0.58,0.28,3.8,545,626,1171
3000,0.5,0.4,6,2993,7,7,6,1,0.0,0.0,0.0,4.0,1193,204,1397
3000,0.5,0.45,3,1233,1767,1767,549,1218,0.59,0.59,0.18,2.97,567,339,906
3000,0.5,0.45,4,1222,1778,1778,723,1055,0.59,0.59,0.24,3.41,578,513,1091
3000,0.5,0.45,5,1171,1829,1829,860,969,0.61,0.61,0.29,3.88,629,650,1279
3000,0.5,0.45,6,1233,1767,1767,1000,767,0.59,0.59,0.33,4.2,567,790,1357
3000,0.5,0.5,3,1176,1824,1824,567,1257,0.61,0.61,0.19,2.94,624,357,981
3000,0.5,0.5,4,1143,1857,1857,754,1103,0.62,0.62,0.25,3.37,657,544,1201
3000,0.5,0.5,5,1159,1841,1841,879,962,0.61,0.61,0.29,3.84,641,669,1310
3000,0.5,0.5,6,1205,1795,1795,983,812,0.6,0.6,0.33,4.14,595,773,1368
3000,0.5,0.55,3,1268,1732,1732,542,1190,0.58,0.58,0.18,3.01,532,332,864
3000,0.5,0.55,4,1236,1764,1764,684,1080,0.59,0.59,0.23,3.38,564,474,1038
3000,0.5,0.55,5,1183,1817,1817,879,938,0.61,0.61,0.29,3.86,617,669,1286
3000,0.5,0.55,6,1119,1881,1881,1001,880,0.63,0.63,0.33,4.17,681,791,1472
